region,country,2023,unit
Beograd,Serbia,1679755.00,人
Borno,Nigeria,2383759.00,人
Équateur,Congo (Kinshasa),1211601.00,人
Ad Dawḩah,Qatar,1215726.00,人
Shymkent,Kazakhstan,1216870.00,人
Ţarābulus,Libya,1279684.00,人
Jammu and Kashmīr,India,3795038.00,人
Tennessee,United States,5545237.00,人
Chelyabinskaya Oblast’,Russia,2647154.00,人
Utah,United States,4963794.00,人
Lampung,Indonesia,1422500.00,人
Nay Pyi Taw,Burma,1290451.00,人
Abia,Nigeria,1873862.00,人
Kigali,Rwanda,1196865.00,人
Samarskaya Oblast’,Russia,2402875.00,人
Bishkek,Kyrgyzstan,1155361.00,人
Bujumbura Mairie,Burundi,1143202.00,人
Krasnodarskiy Kray,Russia,2909342.00,人
Rostovskaya Oblast’,Russia,2847620.00,人
Maputo,Mozambique,2279700.00,人
Sud-Kivu,Congo (Kinshasa),2080211.00,人
Ogun,Nigeria,2804474.00,人
Bashkortostan,Russia,2582224.00,人
Ozama,Dominican Republic,2818784.00,人
Ulsan,"Korea, South",1178457.00,人
Tbilisi,Georgia,1118035.00,人
Assam,India,5135802.00,人
Fès-Meknès,Morocco,2994078.00,人
Ninh Bình,Vietnam,1211088.00,人
Yerevan,Armenia,1106300.00,人
Mwanza,Tanzania,1205256.00,人
Omskaya Oblast’,Russia,1186585.00,人
Andalusia,Spain,7948181.00,人
Ondo,Nigeria,2715321.00,人
Northern,Ghana,1246482.00,人
Goiás,Brazil,4523738.00,人
Krasnoyarskiy Kray,Russia,2023495.00,人
North Rhine-Westphalia,Germany,17771799.00,人
Tshopo,Congo (Kinshasa),1164650.00,人
Nur-Sultan,Kazakhstan,1078362.00,人
Nouakchott Ouest,Mauritania,1120700.00,人
Miyagi,Japan,2260156.00,人
,India,1951816.00,人
Voronezhskaya Oblast’,Russia,1480630.00,人
Managua,Nicaragua,1529957.00,人
Mersin,Turkey,2134544.00,人
Maranhão,Brazil,5252159.00,人
Rangpur,Bangladesh,1778568.00,人
Aşgabat,Turkmenistan,1030063.00,人
Enugu,Nigeria,1140417.00,人
Permskiy Kray,Russia,1788926.00,人
Al Qalyūbīyah,Egypt,2719929.00,人
Montserrado,Liberia,1110250.00,人
Islamabad,Pakistan,1026825.00,人
Jowzjān,Afghanistan,1204099.00,人
Odeska Oblast,Ukraine,1502746.00,人
Namangan,Uzbekistan,1407144.00,人
Gyeongnam,"Korea, South",2693416.00,人
Arequipa,Peru,1068154.00,人
Kasaï,Congo (Kinshasa),1262362.00,人
Volgogradskaya Oblast’,Russia,1764159.00,人
Michoacán,Mexico,3334264.00,人
Balochistan,Pakistan,2976043.00,人
Oklahoma,United States,3135681.00,人
Bono,Ghana,1321509.00,人
Stockholm,Sweden,1652923.00,人
Nouvelle-Aquitaine,France,3045653.00,人
Lilongwe,Malawi,989318.00,人
Ouest,Haiti,3305946.00,人
Riau,Indonesia,1559538.00,人
Bolívar,Venezuela,1655231.00,人
Chiba,Japan,7320021.00,人
Karkūk,Iraq,1024275.00,人
Connecticut,United States,3851632.00,人
Dnipropetrovska Oblast,Ukraine,2470483.00,人
Eastern Cape,South Africa,2210809.00,人
Marrakech-Safi,Morocco,3136004.00,人
Kentucky,United States,2422957.00,人
Cebu,Philippines,4289554.00,人
Ma’ĭkel,Eritrea,976061.00,人
Alagoas,Brazil,3061445.00,人
Western Area,Sierra Leone,1035246.00,人
Viangchan,Laos,973487.00,人
Kermānshāh,Iran,1351585.00,人
Pulau Pinang,Malaysia,2081684.00,人
Rabat-Salé-Kénitra,Morocco,3902292.00,人
La Paz,Bolivia,1420471.00,人
Jerusalem,Israel,1055125.00,人
La Libertad,Peru,1388811.00,人
Aguascalientes,Mexico,1226267.00,人
Khulna,Bangladesh,2397589.00,人
Louisiana,United States,3883335.00,人
Bolívar,Colombia,2003600.00,人
Campania,Italy,4090098.00,人
Santiago del Estero,Argentina,1148354.00,人
Masbate,Philippines,1713318.00,人
Imo,Nigeria,1049697.00,人
Buenos Aires,Argentina,12248102.00,人
Hauts-Bassins,Burkina Faso,1024463.00,人
Ash Sharqīyah,Saudi Arabia,4024991.00,人
Donetska Oblast,Ukraine,2917162.00,人
Al Minūfīyah,Egypt,2906156.00,人
Ituri,Congo (Kinshasa),982836.00,人
Santander,Colombia,2297590.00,人
Yucatán,Mexico,1576257.00,人
Bangui,Central African Republic,889231.00,人
Quintana Roo,Mexico,1555245.00,人
Rizal,Philippines,3463870.00,人
Taguig,Philippines,1264246.00,人
Tabūk,Saudi Arabia,975579.00,人
Panamá,Panama,1531466.00,人
As Sulaymānīyah,Iraq,1614615.00,人
Selangor,Malaysia,2337096.00,人
Provence-Alpes-Côte d’Azur,France,3927695.00,人
Al Anbār,Iraq,1533535.00,人
Piauí,Brazil,2460130.00,人
Tibet,China,3224295.00,人
Perak,Malaysia,1529504.00,人
Coahuila,Mexico,2176375.00,人
‘Adan,Yemen,1186054.00,人
Tyumenskaya Oblast’,Russia,1116675.00,人
Cochabamba,Bolivia,1581509.00,人
Portsmouth,United Kingdom,883061.00,人
Southampton,United Kingdom,855569.00,人
Sonora,Mexico,2942036.00,人
Chungbuk,"Korea, South",1259452.00,人
Thanh Hóa,Vietnam,1408528.00,人
Kwara,Nigeria,1062694.00,人
Arbīl,Iraq,1418313.00,人
,Nepal,3556629.00,人
Piedmont,Italy,2622167.00,人
KwaZulu-Natal,South Africa,3565429.00,人
Saratovskaya Oblast’,Russia,1680512.00,人
Odisha,India,6884504.00,人
Paraíba,Brazil,3320490.00,人
Kalimantan Timur,Indonesia,1729200.00,人
Nebraska,United States,1516031.00,人
Eskişehir,Turkey,878114.00,人
