GeoFips,region,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,unit
27000,Minnesota,16786740000000.0,17678040000000.0,19238950000000.0,19686940000000.0,20406110000000.0,21597510000000.0,23194940000000.0,24463540000000.0,25235760000000.0,26125070000000.0,26877150000000.0,26262880000000.0,27464920000000.0,28707080000000.0,29864140000000.004,31175209999999.996,32470150000000.0,33676200000000.0,34524880000000.0,35472190000000.0,37243920000000.0,38485020000000.0,37874660000000.0,41653870000000.0,45499280000000.0,48316210000000.0,50085140000000.0,美元
28000,Mississippi,6133230000000.0,6427650000000.0,6605150000000.0,6775020000000.0,6970489999999.999,7441839999999.999,7868010000000.001,8299160000000.001,8759670000000.0,9187650000000.0,9517930000000.0,9237800000000.0,9478830000000.0,9679910000000.0,10090540000000.0,10304260000000.0,10521950000000.0,10662390000000.0,10779540000000.0,11028140000000.0,11316640000000.0,11613570000000.0,11670940000000.0,12994470000000.0,14276229999999.998,15114670000000.002,15749100000000.0,美元
29000,Missouri,17012220000000.002,17821590000000.0,18701280000000.0,19038870000000.0,19739900000000.0,20600520000000.0,21697750000000.0,22759460000000.0,23581690000000.0,24408530000000.0,25643110000000.0,25430620000000.0,26201340000000.0,26333000000000.0,27248240000000.004,28265970000000.0,28934070000000.0,29959770000000.0,30414330000000.0,31127380000000.0,32045159999999.996,33475020000000.0,33528509999999.996,36644150000000.0,40026510000000.0,43011440000000.0,45120140000000.0,美元
30000,Montana,2041440000000.0002,2081509999999.9998,2193540000000.0002,2279800000000.0,2388600000000.0,2578110000000.0,2813880000000.0,3082370000000.0,3308800000000.0,3611610000000.0,3702800000000.0,3588000000000.0,3808030000000.0005,4059230000000.0005,4215019999999.9995,4358400000000.0,4520380000000.0,4654240000000.0,4585940000000.0,4847050000000.0,5115210000000.0,5271560000000.0,5295880000000.0,6039970000000.0,6870200000000.0,7325450000000.0,7599920000000.0,美元
31000,Nebraska,5184990000000.0,5371420000000.0,5658270000000.0,5963430000000.0,6156950000000.0,6647170000000.0,7044539999999.999,7488670000000.0,7928750000000.0,8429189999999.999,8614660000000.001,8732550000000.0,9194070000000.0,10052650000000.0,10294970000000.0,10724700000000.0,11276330000000.0,11740230000000.0,11938980000000.0,12321990000000.0,12795440000000.0,13284820000000.002,13514940000000.0,15083610000000.0,16748020000000.002,18128500000000.0,18541100000000.0,美元
32000,Nevada,6533220000000.0,7182530000000.0,7718150000000.0,8096860000000.001,8554100000000.0,9136500000000.0,10413200000000.0,11716510000000.0,12661340000000.0,13204540000000.0,13057090000000.0,12247120000000.0,12514900000000.0,12863840000000.0,13023820000000.0,13359250000000.0,13691840000000.0,14578679999999.998,15331800000000.0,16319910000000.0,17254790000000.0,18461110000000.0,17629630000000.0,20170570000000.0,22732060000000.0,24597880000000.0,26072840000000.0,美元
33000,New Hampshire,4074769999999.9995,4229240000000.0,4560490000000.0,4703730000000.0,4910960000000.0,5160970000000.0,5454570000000.0,5691460000000.0,6015270000000.0,6198480000000.0,6209530000000.0,6305220000000.0,6531080000000.0,6655730000000.0,6841200000000.0,7089739999999.999,7345510000000.001,7738580000000.0,7975970000000.0,8117960000000.001,8385939999999.999,8786820000000.0,8852770000000.0,9909260000000.0,10648800000000.0,11410080000000.0,12118940000000.0,美元
34000,New Jersey,31810400000000.0,33496640000000.004,36053040000000.0,37281920000000.0,38504560000000.0,39999650000000.0,41549080000000.0,43606440000000.0,45768150000000.0,47453960000000.0,49328940000000.0,48145270000000.0,49122900000000.0,49429280000000.0,51609820000000.0,53421210000000.0,54382410000000.0,56580769999999.99,57865140000000.0,59008669999999.99,61934019999999.99,64331769999999.99,63155230000000.01,69544319999999.99,75828870000000.0,80666520000000.0,84658750000000.0,美元
35000,New Mexico,5057310000000.0,5280190000000.0,5500220000000.0,5566020000000.0,5771830000000.0,6286790000000.0,7059339999999.999,7413089999999.999,7800820000000.0,8110030000000.0,8433970000000.0,8264130000000.0,8486260000000.001,8705600000000.0,8768100000000.0,8877330000000.0,9252340000000.0,9077940000000.0,9047600000000.0,9321010000000.0,9883820000000.0,10382100000000.0,10065640000000.0,11297850000000.0,12813880000000.0,13500960000000.0,14054200000000.0,美元
36000,New York,74495890000000.0,79400950000000.0,83985300000000.0,87628520000000.0,88538620000000.0,90853520000000.0,95856530000000.0,100985100000000.0,107227180000000.0,111626530000000.0,110786020000000.0,115549230000000.0,121774800000000.0,124576939999999.98,132447130000000.0,136463289999999.98,143460630000000.0,149847470000000.0,155683000000000.0,162480070000000.0,171066560000000.0,178747090000000.0,177336980000000.0,192341330000000.0,205275880000000.0,217200960000000.0,229702800000000.0,亿美元
